LOCATION,SUBJECT,TIME,NIVEAU_ECRIT
IRL,GIRL,2015,527.0
IRL,GIRL,2018,530.0
ITA,BOY,2000,469.0
ITA,BOY,2003,455.0
ITA,BOY,2006,448.0
ITA,BOY,2009,464.0
ITA,BOY,2012,470.938
ITA,BOY,2015,477.0
ITA,BOY,2018,464.0
ITA,GIRL,2000,507.0
ITA,GIRL,2003,495.0
ITA,GIRL,2006,489.0
ITA,GIRL,2009,510.0
ITA,GIRL,2012,509.945
ITA,GIRL,2015,493.0
ITA,GIRL,2018,489.0
JPN,BOY,2000,507.0
JPN,BOY,2003,487.0
JPN,BOY,2006,483.0
JPN,BOY,2009,501.0
JPN,BOY,2012,526.618
JPN,BOY,2015,509.0
JPN,BOY,2018,493.0
JPN,GIRL,2000,537.0
JPN,GIRL,2003,509.0
JPN,GIRL,2006,513.0
JPN,GIRL,2009,540.0
JPN,GIRL,2012,550.724
JPN,GIRL,2015,523.0
JPN,GIRL,2018,514.0
KOR,BOY,2000,519.0
KOR,BOY,2003,525.0
KOR,BOY,2006,539.0
KOR,BOY,2009,523.0
KOR,BOY,2012,524.965
KOR,BOY,2015,498.0
KOR,BOY,2018,503.0
KOR,GIRL,2000,533.0
KOR,GIRL,2003,547.0
KOR,GIRL,2006,574.0
KOR,GIRL,2009,558.0
KOR,GIRL,2012,548.207
KOR,GIRL,2015,539.0
KOR,GIRL,2018,526.0
LUX,BOY,2000,429.0
LUX,BOY,2003,463.0
LUX,BOY,2006,464.0
LUX,BOY,2009,453.0
LUX,BOY,2012,473.046
LUX,BOY,2015,471.0
LUX,BOY,2018,456.0
LUX,GIRL,2000,456.0
LUX,GIRL,2003,496.0
LUX,GIRL,2006,495.0
LUX,GIRL,2009,492.0
LUX,GIRL,2012,503.024
LUX,GIRL,2015,492.0
LUX,GIRL,2018,485.0
MEX,BOY,2000,411.0
MEX,BOY,2003,389.0
MEX,BOY,2006,393.0
MEX,BOY,2009,413.0
MEX,BOY,2012,411.365
MEX,BOY,2015,416.0
MEX,BOY,2018,415.0
MEX,GIRL,2000,432.0
MEX,GIRL,2003,410.0
MEX,GIRL,2006,427.0
MEX,GIRL,2009,438.0
MEX,GIRL,2012,435.272
MEX,GIRL,2015,431.0
MEX,GIRL,2018,426.0
