LOCATION,SUBJECT,TIME,NIVEAU_SCIENCE
NLD,BOY,2006,528.0
NLD,BOY,2009,524.0
NLD,BOY,2012,523.622
NLD,BOY,2015,511.0
NLD,BOY,2018,499.0
NLD,GIRL,2006,521.0
NLD,GIRL,2009,520.0
NLD,GIRL,2012,520.415
NLD,GIRL,2015,507.0
NLD,GIRL,2018,508.0
NZL,BOY,2006,528.0
NZL,BOY,2009,529.0
NZL,BOY,2012,517.875
NZL,BOY,2015,516.0
NZL,BOY,2018,509.0
NZL,GIRL,2006,532.0
NZL,GIRL,2009,535.0
NZL,GIRL,2012,513.297
NZL,GIRL,2015,511.0
NZL,GIRL,2018,508.0
NOR,BOY,2006,484.0
NOR,BOY,2009,498.0
NOR,BOY,2012,492.792
NOR,BOY,2015,500.0
NOR,BOY,2018,485.0
NOR,GIRL,2006,489.0
NOR,GIRL,2009,502.0
NOR,GIRL,2012,496.346
NOR,GIRL,2015,497.0
NOR,GIRL,2018,496.0
POL,BOY,2006,500.0
POL,BOY,2009,505.0
POL,BOY,2012,524.421
POL,BOY,2015,504.0
POL,BOY,2018,511.0
POL,GIRL,2006,496.0
POL,GIRL,2009,511.0
POL,GIRL,2012,527.149
POL,GIRL,2015,498.0
POL,GIRL,2018,511.0
PRT,BOY,2006,477.0
PRT,BOY,2009,491.0
PRT,BOY,2012,488.346
PRT,BOY,2015,506.0
PRT,BOY,2018,494.0
PRT,GIRL,2006,472.0
PRT,GIRL,2009,495.0
PRT,GIRL,2012,490.224
PRT,GIRL,2015,496.0
PRT,GIRL,2018,489.0
SVK,BOY,2006,491.0
SVK,BOY,2009,490.0
SVK,BOY,2012,474.658
SVK,BOY,2015,460.0
SVK,BOY,2018,461.0
SVK,GIRL,2006,485.0
SVK,GIRL,2009,491.0
SVK,GIRL,2012,467.385
SVK,GIRL,2015,461.0
SVK,GIRL,2018,467.0
ESP,BOY,2006,491.0
ESP,BOY,2009,492.0
ESP,BOY,2012,500.119
ESP,BOY,2015,496.0
ESP,BOY,2018,484.0
ESP,GIRL,2006,486.0
ESP,GIRL,2009,485.0
ESP,GIRL,2012,492.658
ESP,GIRL,2015,489.0
ESP,GIRL,2018,482.0
SWE,BOY,2006,504.0
SWE,BOY,2009,493.0
SWE,BOY,2012,481.151
SWE,BOY,2015,491.0
SWE,BOY,2018,496.0
SWE,GIRL,2006,503.0
SWE,GIRL,2009,497.0
SWE,GIRL,2012,488.513
SWE,GIRL,2015,496.0
SWE,GIRL,2018,503.0
CHE,BOY,2006,514.0
CHE,BOY,2009,520.0
CHE,BOY,2012,518.255
CHE,BOY,2015,508.0
CHE,BOY,2018,495.0
CHE,GIRL,2006,509.0
CHE,GIRL,2009,512.0
CHE,GIRL,2012,512.331
CHE,GIRL,2015,502.0
CHE,GIRL,2018,495.0
TUR,BOY,2006,418.0
TUR,BOY,2009,448.0
TUR,BOY,2012,458.316
TUR,BOY,2015,422.0
TUR,BOY,2018,465.0
TUR,GIRL,2006,430.0
TUR,GIRL,2009,460.0
TUR,GIRL,2012,468.622
TUR,GIRL,2015,429.0
TUR,GIRL,2018,472.0
GBR,BOY,2006,520.0
GBR,BOY,2009,519.0
GBR,BOY,2012,520.622
GBR,BOY,2015,510.0
GBR,BOY,2018,506.0
GBR,GIRL,2006,510.0
GBR,GIRL,2009,509.0
GBR,GIRL,2012,507.883
GBR,GIRL,2015,509.0
GBR,GIRL,2018,503.0
USA,BOY,2006,489.0
USA,BOY,2009,509.0
USA,BOY,2012,496.529
USA,BOY,2015,500.0
USA,BOY,2018,503.0
USA,GIRL,2006,489.0
USA,GIRL,2009,495.0
USA,GIRL,2012,498.325
USA,GIRL,2015,493.0
USA,GIRL,2018,502.0
BRA,BOY,2006,395.0
BRA,BOY,2009,407.0
BRA,BOY,2012,405.541
BRA,BOY,2015,403.0
BRA,BOY,2018,403.0
BRA,GIRL,2006,386.0
BRA,GIRL,2009,404.0
BRA,GIRL,2012,403.949
BRA,GIRL,2015,399.0
BRA,GIRL,2018,404.0
CHL,BOY,2006,448.0
CHL,BOY,2009,452.0
CHL,BOY,2012,448.441
CHL,BOY,2015,454.0
CHL,BOY,2018,445.0
CHL,GIRL,2006,426.0
CHL,GIRL,2009,443.0
CHL,GIRL,2012,441.645
CHL,GIRL,2015,440.0
CHL,GIRL,2018,442.0
EST,BOY,2006,530.0
EST,BOY,2009,527.0
EST,BOY,2012,540.177
EST,BOY,2015,536.0
EST,BOY,2018,528.0
EST,GIRL,2006,533.0
EST,GIRL,2009,528.0
EST,GIRL,2012,542.608
EST,GIRL,2015,533.0
EST,GIRL,2018,533.0
IDN,BOY,2006,399.0
IDN,BOY,2009,378.0
IDN,BOY,2012,380.409
IDN,BOY,2015,401.0
IDN,BOY,2018,393.0
IDN,GIRL,2006,387.0
IDN,GIRL,2009,387.0
IDN,GIRL,2012,383.459
IDN,GIRL,2015,405.0
IDN,GIRL,2018,399.0
ISR,BOY,2006,456.0
ISR,BOY,2009,453.0
ISR,BOY,2012,469.715
ISR,BOY,2015,469.0
ISR,BOY,2018,452.0
ISR,GIRL,2006,452.0
ISR,GIRL,2009,456.0
ISR,GIRL,2012,470.419
ISR,GIRL,2015,464.0
ISR,GIRL,2018,471.0
RUS,BOY,2009,477.0
RUS,BOY,2012,483.532
RUS,BOY,2015,489.0
RUS,BOY,2018,477.0
RUS,GIRL,2009,480.0
RUS,GIRL,2012,489.058
RUS,GIRL,2015,485.0
RUS,GIRL,2018,478.0
SVN,BOY,2006,515.0
SVN,BOY,2009,505.0
SVN,BOY,2012,509.882
SVN,BOY,2015,510.0
SVN,BOY,2018,502.0
SVN,GIRL,2006,523.0
SVN,GIRL,2009,519.0
SVN,GIRL,2012,518.717
SVN,GIRL,2015,516.0
SVN,GIRL,2018,512.0
LVA,BOY,2015,485.0
LVA,BOY,2018,483.0
LVA,GIRL,2015,496.0
LVA,GIRL,2018,491.0
AUS,TOT,2006,527.0
AUS,TOT,2009,527.0
AUS,TOT,2012,521.0
AUS,TOT,2015,510.0
AUS,TOT,2018,503.0
AUT,TOT,2006,511.0
AUT,TOT,2012,506.0
AUT,TOT,2015,495.0
AUT,TOT,2018,490.0
BEL,TOT,2006,510.0
BEL,TOT,2009,507.0
BEL,TOT,2012,505.0
BEL,TOT,2015,502.0
BEL,TOT,2018,499.0
CAN,TOT,2006,534.0
CAN,TOT,2009,529.0
CAN,TOT,2012,525.0
CAN,TOT,2015,528.0
CAN,TOT,2018,518.0
CZE,TOT,2006,513.0
CZE,TOT,2009,500.0
CZE,TOT,2012,508.0
CZE,TOT,2015,493.0
CZE,TOT,2018,497.0
DNK,TOT,2006,496.0
DNK,TOT,2009,499.0
DNK,TOT,2012,498.0
DNK,TOT,2015,502.0
DNK,TOT,2018,493.0
FIN,TOT,2006,563.0
FIN,TOT,2009,554.0
FIN,TOT,2012,545.0
FIN,TOT,2015,531.0
FIN,TOT,2018,522.0
FRA,TOT,2006,495.0
FRA,TOT,2009,498.0
FRA,TOT,2012,499.0
FRA,TOT,2015,495.0
FRA,TOT,2018,493.0
DEU,TOT,2006,516.0
DEU,TOT,2009,520.0
DEU,TOT,2012,524.0
DEU,TOT,2015,509.0
DEU,TOT,2018,503.0
GRC,TOT,2006,473.0
GRC,TOT,2009,470.0
GRC,TOT,2012,467.0
GRC,TOT,2015,455.0
GRC,TOT,2018,452.0
HUN,TOT,2006,504.0
HUN,TOT,2009,503.0
HUN,TOT,2012,494.0
HUN,TOT,2015,477.0
HUN,TOT,2018,481.0
ISL,TOT,2006,491.0
ISL,TOT,2009,496.0
ISL,TOT,2012,478.0
