LOCATION,SUBJECT,TIME,NIVEAU_MATH
NLD,BOY,2003,540.0
NLD,BOY,2006,537.0
NLD,BOY,2009,534.0
NLD,BOY,2012,527.967
NLD,BOY,2015,513.0
NLD,GIRL,2003,535.0
NLD,GIRL,2006,524.0
NLD,GIRL,2009,517.0
NLD,GIRL,2012,517.738
NLD,GIRL,2015,511.0
NZL,BOY,2003,531.0
NZL,BOY,2006,527.0
NZL,BOY,2009,523.0
NZL,BOY,2012,507.112
NZL,BOY,2015,499.0
NZL,GIRL,2003,516.0
NZL,GIRL,2006,517.0
NZL,GIRL,2009,515.0
NZL,GIRL,2012,492.057
NZL,GIRL,2015,491.0
NOR,BOY,2003,498.0
NOR,BOY,2006,493.0
NOR,BOY,2009,500.0
NOR,BOY,2012,490.399
NOR,BOY,2015,501.0
NOR,GIRL,2003,492.0
NOR,GIRL,2006,487.0
NOR,GIRL,2009,495.0
NOR,GIRL,2012,488.293
NOR,GIRL,2015,503.0
POL,BOY,2003,493.0
POL,BOY,2006,500.0
POL,BOY,2009,497.0
POL,BOY,2012,519.564
POL,BOY,2015,510.0
POL,GIRL,2003,487.0
POL,GIRL,2006,491.0
POL,GIRL,2009,493.0
POL,GIRL,2012,515.533
POL,GIRL,2015,499.0
PRT,BOY,2003,472.0
PRT,BOY,2006,474.0
PRT,BOY,2009,493.0
PRT,BOY,2012,492.703
PRT,BOY,2015,497.0
PRT,GIRL,2003,460.0
PRT,GIRL,2006,459.0
PRT,GIRL,2009,481.0
PRT,GIRL,2012,481.296
PRT,GIRL,2015,487.0
SVK,BOY,2003,507.0
SVK,BOY,2006,499.0
SVK,BOY,2009,498.0
SVK,BOY,2012,486.134
SVK,BOY,2015,478.0
SVK,GIRL,2003,489.0
SVK,GIRL,2006,485.0
SVK,GIRL,2009,495.0
SVK,GIRL,2012,476.712
SVK,GIRL,2015,472.0
ESP,BOY,2003,490.0
ESP,BOY,2006,484.0
ESP,BOY,2009,493.0
ESP,BOY,2012,492.422
ESP,BOY,2015,494.0
ESP,GIRL,2003,481.0
ESP,GIRL,2006,476.0
ESP,GIRL,2009,474.0
ESP,GIRL,2012,475.965
ESP,GIRL,2015,478.0
SWE,BOY,2003,512.0
SWE,BOY,2006,505.0
SWE,BOY,2009,493.0
SWE,BOY,2012,476.916
SWE,BOY,2015,493.0
SWE,GIRL,2003,506.0
SWE,GIRL,2006,500.0
SWE,GIRL,2009,495.0
SWE,GIRL,2012,479.629
SWE,GIRL,2015,495.0
CHE,BOY,2003,535.0
CHE,BOY,2006,536.0
CHE,BOY,2009,544.0
CHE,BOY,2012,537.369
CHE,BOY,2015,527.0
CHE,GIRL,2003,518.0
CHE,GIRL,2006,523.0
CHE,GIRL,2009,524.0
CHE,GIRL,2012,524.473
CHE,GIRL,2015,515.0
TUR,BOY,2003,430.0
TUR,BOY,2006,427.0
TUR,BOY,2009,451.0
TUR,BOY,2012,451.934
TUR,BOY,2015,423.0
TUR,GIRL,2003,415.0
TUR,GIRL,2006,421.0
TUR,GIRL,2009,440.0
TUR,GIRL,2012,443.948
TUR,GIRL,2015,418.0
GBR,BOY,2006,504.0
GBR,BOY,2009,503.0
GBR,BOY,2012,500.295
GBR,BOY,2015,498.0
GBR,GIRL,2006,487.0
GBR,GIRL,2009,482.0
GBR,GIRL,2012,487.815
GBR,GIRL,2015,487.0
USA,BOY,2003,486.0
USA,BOY,2006,479.0
USA,BOY,2009,497.0
USA,BOY,2012,483.647
USA,BOY,2015,474.0
USA,GIRL,2003,480.0
USA,GIRL,2006,470.0
USA,GIRL,2009,477.0
USA,GIRL,2012,478.995
USA,GIRL,2015,465.0
BRA,BOY,2003,365.0
BRA,BOY,2006,380.0
BRA,BOY,2009,394.0
BRA,BOY,2012,400.769
BRA,BOY,2015,385.0
BRA,GIRL,2003,348.0
BRA,GIRL,2006,361.0
BRA,GIRL,2009,379.0
BRA,GIRL,2012,382.925
BRA,GIRL,2015,370.0
CHL,BOY,2006,424.0
CHL,BOY,2009,431.0
CHL,BOY,2012,435.525
CHL,BOY,2015,432.0
CHL,GIRL,2006,396.0
CHL,GIRL,2009,410.0
CHL,GIRL,2012,410.543
CHL,GIRL,2015,413.0
